Date,Visitor,Visitor Line, Home Team,Home Line
09/04/14,Green Bay Packers,100,Seattle Seahawks,-100
09/07/14,New Orleans Saints,100,Atlanta Falcons,-100
09/07/14,Minnesota Vikings,100,St Louis Rams,-100
09/07/14,Cleveland Browns,100,Pittsburgh Steelers,-100
09/07/14,Jacksonville Jaguars,100,Philadelphia Eagles,-100
09/07/14,Oakland Raiders,100,New York Jets,-100
09/07/14,Cincinnati Bengals,100,Baltimore Ravens,-100
09/07/14,Buffalo Bills,100,Chicago Bears,-100
09/07/14,Washington Redskins,100,Houston Texans,-100
09/07/14,Tennessee Titans,100,Kansas City Chiefs,-100
09/07/14,New England Patriots,-1000,Miami Dolphins,100
09/07/14,Carolina Panthers,100,Tampa Bay Buccaneers,-100
09/07/14,San Francisco 49ers,100,Dallas Cowboys,-100
09/07/14,Indianapolis Colts,100,Denver Broncos,-100
09/08/14,New York Giants,100,Detroit Lions,-100
09/08/14,San Diego Chargers,100,Arizona Cardinals,-100
09/11/14,Pittsburgh Steelers,100,Baltimore Ravens,-100
09/14/14,Detroit Lions,100,Carolina Panthers,-100
09/14/14,Miami Dolphins,100,Buffalo Bills,-100
09/14/14,Jacksonville Jaguars,100,Washington Redskins,-100
09/14/14,Dallas Cowboys,100,Tennessee Titans,-100
09/14/14,Arizona Cardinals,100,New York Giants,-100
09/14/14,New England Patriots,100,Minnesota Vikings,-100
09/14/14,New Orleans Saints,-1000,Cleveland Browns,1000
09/14/14,Atlanta Falcons,100,Cincinnati Bengals,-100
09/14/14,St Louis Rams,100,Tampa Bay Buccaneers,-100
09/14/14,Seattle Seahawks,100,San Diego Chargers,-100
09/14/14,Houston Texans,100,Oakland Raiders,-100
09/14/14,New York Jets,100,Green Bay Packers,-100
09/14/14,Kansas City Chiefs,100,Denver Broncos,-1200
09/14/14,Chicago Bears,100,San Francisco 49ers,-100
09/15/14,Philadelphia Eagles,100,Indianapolis Colts,-100
09/18/14,Tampa Bay Buccaneers,240,Atlanta Falcons,-280
09/21/14,San Diego Chargers,120,Buffalo Bills,-140
09/21/14,Dallas Cowboys,-110,St Louis Rams,-110
09/21/14,Washington Redskins,230,Philadelphia Eagles,-270
09/21/14,Houston Texans,-130,New York Giants,110
09/21/14,Minnesota Vikings,400,New Orleans Saints,-500
09/21/14,Tennessee Titans,260,Cincinnati Bengals,-320
09/21/14,Baltimore Ravens,-125,Cleveland Browns,105
09/21/14,Green Bay Packers,115,Detroit Lions,-135
09/21/14,Indianapolis Colts,-290,Jacksonville Jaguars,245
09/21/14,Oakland Raiders,850,New England Patriots,-1500
09/21/14,San Francisco 49ers,-160,Arizona Cardinals,140
09/21/14,Denver Broncos,200,Seattle Seahawks,-240
09/21/14,Kansas City Chiefs,180,Miami Dolphins,-210
09/21/14,Pittsburgh Steelers,155,Carolina Panthers,-175
09/22/14,Chicago Bears,135,New York Jets,-155
9/25/14,N.Y. Giants,170,Washington,-200
9/28/14,Miami,-200,Oakland,170
9/28/14,Green Bay,-125,Chicago,105
9/28/14,Buffalo,150,Houston,-170
9/28/14,Tennessee,270,Indianapolis,-330
9/28/14,Carolina,155,Baltimore,-175
9/28/14,Detroit,-125,N.Y. Jets,105
9/28/14,Tampa Bay,300,Pittsburgh,-360
9/28/14,Jacksonville,650,San Diego,-1000
9/28/14,Philadelphia,205,San Francisco,-245
9/28/14,Atlanta,-150,Minnesota,130
9/28/14,New Orleans,-165,Dallas,145
9/29/14,New England,-180,Kansas City,160
